asset_category,asset_subcategory,standardised_asset_type_name,asset_count,raw_asset_types,source_labels,contracts,assets_with_wkt_pct,assets_with_valid_au_coord_pct,assets_with_condition_pct,assets_with_criticality_pct,assets_with_risk_pct,assets_with_chainage_pct,assets_with_attributes_pct,assets_with_job_pct,assets_with_inspection_pct,assets_with_asset_photo_pct,chainage_length_km_proxy,job_count,inspection_count,capitalwork_count,attribute_rows,distinct_attribute_names,mapping_methods
Barriers / Safety Devices,Crash Cushions / End Treatments,Barrier End Terminal,188,Barrier End Terminal,RAMC / BAC / PoB / TSRC group,Toowoomba Second Range Crossing,100.0%,100.0%,98.9%,0.0%,0.0%,0.0%,100.0%,9.0%,100.0%,0.0%,0.0,20,628,0,2636,15,manual_asset_type_mapping_v5
Barriers / Safety Devices,Crash Cushions / End Treatments,Crash Cushion,135,Crash Cushions,RAMC / BAC / PoB / TSRC group,RAMC - Gen 2 - 2019-2024,100.0%,100.0%,0.0%,0.7%,0.0%,100.0%,100.0%,0.0%,0.0%,98.5%,0.0,0,0,0,135,1,manual_asset_type_mapping_v5
Barriers / Safety Devices,Crash Cushions / End Treatments,Impact Absorption Terminal,37,Impact Absorbtion Terminals,VicRoads,Western Roads Upgrade (WRU),100.0%,100.0%,48.6%,48.6%,0.0%,100.0%,100.0%,16.2%,29.7%,54.1%,0.0,8,12,0,185,5,manual_asset_type_mapping_v5
Barriers / Safety Devices,Fencing,Fence,465,Fences,RAMC / BAC / PoB / TSRC group,Toowoomba Second Range Crossing,100.0%,100.0%,84.7%,0.0%,0.0%,100.0%,100.0%,86.2%,98.7%,0.0%,0.0,2267,1753,0,23578,53,manual_asset_type_mapping_v5
Barriers / Safety Devices,Fencing,Fence Gate,153,Fence Gates,RAMC / BAC / PoB / TSRC group,Toowoomba Second Range Crossing,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,100.0%,1.3%,100.0%,0.0%,0.0,3,603,0,2292,15,manual_asset_type_mapping_v5
Barriers / Safety Devices,Fencing,Fencing,358,Fencing,VicRoads,"Initial Rehabilitation Works (IRW), Proposed Work Applications (PWA), Western Roads Upgrade (WRU); Initial Rehabilitation Works (IRW), Western Roads Upgrade (WRU); Proposed Work Applications (PWA), Western Roads Upgrade (WRU); Western Roads Upgrade (WRU)",100.0%,100.0%,79.9%,91.1%,0.0%,100.0%,100.0%,36.0%,71.8%,62.6%,85.547,355,871,0,8786,27,manual_asset_type_mapping_v5
Barriers / Safety Devices,Railings,Railing,919,Railings,VNZ,Auckland West Transport,100.0%,100.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.4%,0.0%,0.0%,0.0,5,0,0,35841,39,manual_asset_type_mapping_v5
Barriers / Safety Devices,Safety Barriers / Guardrail,Guardrail,307,Guardrail,RAMC / BAC / PoB / TSRC group,Brisbane Airport,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,100.0%,6.2%,0.0%,0.0%,0.0,22,0,4,4298,13,manual_asset_type_mapping_v5
Barriers / Safety Devices,Safety Barriers / Guardrail,Road Barrier,605,Road Barrier,RAMC / BAC / PoB / TSRC group,Toowoomba Second Range Crossing,100.0%,100.0%,79.2%,0.0%,0.0%,100.0%,100.0%,7.4%,99.7%,0.0%,0.0,55,1864,0,34874,58,manual_asset_type_mapping_v5
Barriers / Safety Devices,Safety Barriers / Guardrail,Safety Barrier,4048,Safety Barrier,RMS; RMS new,"SRAP-C; SRAP-C OOC; SRAP-C, SRAP-C OOC",99.7%,99.7%,0.0%,0.0%,0.0%,100.0%,100.0%,33.2%,72.9%,6.2%,445.669,2345,3421,4,185423,46,manual_asset_type_mapping_v5
Barriers / Safety Devices,Safety Barriers / Guardrail,Vehicle Barrier,1242,Vehicle Barriers,VicRoads,"Initial Rehabilitation Works (IRW), Proposed Work Applications (PWA), Western Roads Upgrade (WRU); Initial Rehabilitation Works (IRW), Western Roads Upgrade (WRU); Proposed Work Applications (PWA), Western Roads Upgrade (WRU); Western Roads Upgrade (WRU)",100.0%,100.0%,81.0%,66.9%,0.0%,100.0%,100.0%,58.1%,65.1%,78.3%,3162.666,3139,3172,0,72233,68,manual_asset_type_mapping_v5
Barriers / Safety Devices,Safety Ramps / Arrestor Beds,Arrestor Bed,2,Arrestor Bed,RAMC / BAC / PoB / TSRC group,Toowoomba Second Range Crossing,100.0%,100.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0,15,3,0,34,17,manual_asset_type_mapping_v5
Barriers / Safety Devices,Safety Ramps / Arrestor Beds,Safety Ramp,2,Safety Ramp,RMS; RMS new,SRAP-C,100.0%,100.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0,8,22,0,48,25,manual_asset_type_mapping_v5
Communications / Monitoring,Communications Systems,Communication Node,94,Communication Node,VentureSmart,VentureSmart,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,92.6%,0.0%,0.0%,0.0,420,0,0,376,4,manual_asset_type_mapping_v5
